date,dewPoint,humidity,maxTemp,minTemp,precipType
2014-05-02,27.18,0.25,75.23,55.0,rain
2014-05-03,26.66,0.22,80.22,53.32,rain
2014-05-04,24.57,0.19,83.3,57.01,rain
2014-05-05,24.41,0.18,83.7,59.1,rain
2014-05-06,25.97,0.18,84.91,61.58,rain
2014-05-07,25.22,0.17,88.0,59.56,rain
2014-05-08,19.56,0.13,90.0,67.09,rain
2014-05-09,19.97,0.15,77.0,65.44,rain
2014-05-10,18.78,0.15,78.98,60.99,rain
2014-05-11,29.77,0.25,75.49,59.31,rain
2014-05-12,22.97,0.2,73.34,61.0,rain
2014-05-13,38.67,0.51,63.77,50.0,rain
2014-05-14,36.08,0.41,67.42,54.11,rain
2014-05-15,30.22,0.31,77.0,50.68,rain
2014-05-16,21.96,0.17,88.0,55.82,rain
2014-05-17,20.68,0.16,77.92,61.0,rain
2014-05-18,20.97,0.16,79.62,61.09,rain
2014-05-19,25.17,0.18,82.05,58.8,rain
2014-05-20,26.32,0.17,84.51,62.92,rain
2014-05-21,21.32,0.15,84.0,63.0,rain
2014-05-22,12.12,0.14,70.0,62.85,rain
2014-05-23,15.21,0.15,77.0,51.12,rain
2014-05-24,14.62,0.13,77.0,58.09,rain
2014-05-25,20.47,0.17,80.69,53.98,rain
2014-05-26,21.29,0.17,82.47,55.2,rain
2014-05-27,23.11,0.17,86.33,57.46,rain
2014-05-28,24.88,0.15,90.0,64.0,rain
2014-05-29,32.71,0.19,90.0,66.83,rain
2014-05-30,33.3,0.19,89.99,69.1,rain
2014-05-31,22.01,0.14,88.0,70.0,rain
2014-06-01,36.05,0.31,79.0,61.0,rain
2014-06-02,41.73,0.39,82.52,57.75,rain
2014-06-03,30.94,0.24,79.0,60.78,rain
2014-06-04,27.19,0.21,82.0,63.0,rain
2014-06-05,40.23,0.37,77.43,58.21,rain
2014-06-06,41.82,0.31,86.28,62.01,rain
2014-06-07,43.28,0.35,82.0,64.0,rain
2014-06-08,39.16,0.34,84.02,63.0,rain
2014-06-09,25.45,0.16,86.0,66.46,rain
2014-06-10,25.6,0.17,86.0,66.3,rain
2014-06-11,35.5,0.26,84.21,59.68,rain
2014-06-12,37.23,0.26,85.52,63.56,rain
2014-06-13,36.42,0.24,88.62,65.05,rain
2014-06-14,36.83,0.22,93.29,66.42,rain
2014-06-15,37.55,0.2,97.0,68.14,rain
2014-06-16,43.1,0.26,92.25,73.0,rain
2014-06-17,52.81,0.46,86.91,64.26,rain
2014-06-18,56.64,0.69,79.0,61.0,rain
2014-06-19,54.78,0.65,77.0,62.24,rain
2014-06-20,54.47,0.63,81.0,58.67,rain
2014-06-21,54.21,0.62,79.17,59.79,rain
2014-06-22,54.39,0.59,81.0,61.0,rain
2014-06-23,53.63,0.59,82.0,60.1,rain
