,crit_viol,yelp_rating,yelp_reviews,risk,insp_badge,crime_count,311_count,construction_count,avg_high_temp,time_diff,target
218,3,4.0,550,3,54,18.0,0.0,11.0,86.06,-313,0
217,5,4.0,550,3,54,32.0,0.0,5.0,77.55,-386,1
216,5,4.0,550,3,82,10.0,0.0,16.0,70.0,-124,1
824,6,4.0,149,3,624,1.0,0.0,2.0,68.24,-257,1
823,3,4.0,149,3,612,1.0,0.0,2.0,91.84,-133,0
822,5,4.0,149,3,88,3.0,0.0,0.0,47.38,-210,1
821,7,4.0,149,3,624,0.0,0.0,1.0,76.45,-446,1
138,6,4.0,1460,4,59,17.0,1.0,9.0,83.26,-682,1
812,3,4.0,182,3,64,8.0,0.0,5.0,72.42,-565,0
141,4,3.5,273,3,54,11.0,1.0,7.0,82.27,-346,0
726,7,3.5,273,4,29,25.0,0.0,8.0,34.75,-180,1
140,5,3.5,273,3,107,18.0,0.0,7.0,86.91,-111,1
725,4,3.5,273,4,107,20.0,0.0,7.0,78.6,-361,0
873,3,3.5,521,3,88,29.0,1.0,10.0,94.05,-356,0
872,8,3.5,521,3,82,15.0,0.0,6.0,81.03,-421,1
409,2,3.5,585,3,422,9.0,0.0,2.0,74.62,-269,0
408,10,3.5,585,3,603,8.0,0.0,1.0,71.96,-844,1
763,5,3.5,129,3,54,23.0,0.0,12.0,85.48,-376,1
801,3,3.0,70,3,124,13.0,0.0,11.0,58.77,-123,0
800,6,3.0,70,3,89,8.0,0.0,7.0,46.84,-259,1
799,4,3.0,70,3,89,14.0,0.0,5.0,78.71,-283,0
798,3,3.0,70,3,422,7.0,0.0,12.0,87.92,-270,0
1227,2,4.0,53,2,611,5.0,0.0,6.0,85.47,-328,0
1226,7,4.0,53,2,89,10.0,0.0,8.0,27.74,-186,1
1225,4,4.0,53,2,51,9.0,0.0,4.0,33.25,-385,0
1236,2,3.5,172,3,54,27.0,0.0,8.0,97.94,-353,0
1235,5,3.5,172,3,121,34.0,0.0,10.0,79.06,-423,1
901,4,3.5,131,5,650,15.0,0.0,14.0,92.63,-362,0
900,1,3.5,131,5,82,17.0,0.0,10.0,70.16,-420,0
899,2,3.5,131,5,107,15.0,0.0,5.0,90.67,-336,0
927,6,4.0,634,2,88,20.0,0.0,8.0,84.74,-412,1
926,5,4.0,634,2,29,28.0,0.0,7.0,34.23,-168,1
925,7,4.0,634,2,16,18.0,0.0,4.0,42.4,-361,1
1337,4,3.5,141,4,124,9.0,0.0,12.0,73.24,-164,0
944,7,4.0,263,3,422,5.0,0.0,9.0,80.78,-335,1
943,0,4.0,263,3,611,22.0,0.0,7.0,67.78,-198,0
942,1,4.0,263,3,612,12.0,0.0,15.0,69.05,-361,0
1360,6,4.0,247,2,121,9.0,0.0,7.0,81.36,-362,1
1329,5,3.5,307,3,607,23.0,0.0,12.0,79.84,-416,1
1422,7,3.5,145,3,82,15.0,0.0,13.0,62.09,-113,1
930,4,3.5,145,3,422,14.0,0.0,5.0,90.2,-477,0
78,1,2.5,45,3,607,25.0,0.0,5.0,88.61,-389,0
77,5,2.5,45,3,82,38.0,0.0,14.0,79.39,-296,1
357,3,3.0,182,3,54,21.0,0.0,3.0,88.44,-332,0
356,2,3.0,182,3,59,13.0,0.0,2.0,39.76,-221,0
551,5,3.0,64,3,624,2.0,0.0,2.0,74.61,-265,1
550,2,3.0,64,3,612,2.0,0.0,3.0,89.37,-127,0
549,1,3.0,64,3,54,1.0,0.0,1.0,50.42,-217,0
548,2,3.0,64,3,612,2.0,0.0,2.0,92.77,-110,0
351,3,4.0,190,3,54,0.0,0.0,6.0,74.86,-278,0
350,6,4.0,190,3,64,8.0,0.0,1.0,92.06,-400,1
349,6,4.0,190,3,59,4.0,0.0,1.0,78.28,-432,1
48,2,3.5,36,3,54,5.0,0.0,6.0,85.75,-320,0
1347,10,3.5,143,3,89,5.0,0.0,9.0,89.07,-258,1
1346,3,3.5,143,3,26,6.0,0.0,2.0,35.69,-253,0
1323,4,4.0,241,4,124,8.0,0.0,4.0,35.76,-187,0
1322,5,4.0,241,4,19,5.0,0.0,10.0,89.07,-132,1
509,4,3.5,76,2,87,17.0,0.0,9.0,24.73,-507,0
508,6,3.5,76,2,124,14.0,0.0,8.0,77.27,-236,1
507,3,3.5,76,2,422,22.0,0.0,6.0,83.1,-198,0
368,1,3.0,47,3,422,3.0,0.0,4.0,74.61,-265,0
367,4,3.0,47,3,64,4.0,0.0,1.0,92.06,-413,0
366,3,3.0,47,3,64,1.0,0.0,1.0,44.16,-189,0
365,3,3.0,47,3,64,3.0,0.0,3.0,60.02,-110,0
1111,2,3.0,103,2,54,22.0,0.0,11.0,86.56,-294,0
1110,5,3.0,103,2,89,11.0,0.0,14.0,68.28,-453,1
1109,1,3.0,103,2,603,25.0,0.0,14.0,73.65,-281,0
376,7,3.5,150,3,607,19.0,0.0,12.0,87.78,-384,1
1394,2,4.0,165,3,607,15.0,0.0,11.0,88.61,-389,0
1381,3,2.5,21,3,82,5.0,0.0,4.0,78.88,-215,0
1380,1,2.5,21,3,64,5.0,0.0,1.0,72.82,-156,0
987,6,3.0,151,3,82,8.0,0.0,12.0,57.69,-140,1
986,0,3.0,151,3,124,4.0,0.0,6.0,66.54,-219,0
749,0,4.5,2,2,82,12.0,0.0,7.0,86.3,-423,0
748,1,4.5,2,2,29,18.0,0.0,8.0,72.42,-196,0
747,2,4.5,2,2,54,23.0,0.0,4.0,79.73,-415,0
45,1,2.0,10,3,422,14.0,0.0,8.0,73.08,-269,0
44,3,2.0,10,3,26,7.0,0.0,8.0,34.75,-151,0
43,3,2.0,10,3,422,7.0,0.0,5.0,50.14,-282,0
488,2,1.5,27,3,54,1.0,0.0,3.0,84.08,-301,0
487,3,1.5,27,3,54,6.0,0.0,2.0,85.14,-281,0
486,3,1.5,27,3,624,2.0,0.0,1.0,78.61,-316,0
1439,2,3.5,70,3,107,3.0,0.0,6.0,51.6,-215,0
593,3,3.0,155,4,124,15.0,0.0,7.0,79.73,-1033,0
666,8,3.5,132,3,89,11.0,0.0,5.0,89.93,-186,1
665,3,3.5,132,3,107,3.0,0.0,1.0,30.67,-202,0
664,5,3.5,132,3,624,4.0,0.0,4.0,86.46,-132,1
663,2,3.5,132,3,124,9.0,0.0,5.0,66.01,-107,0
662,2,3.5,132,3,611,6.0,0.0,5.0,40.97,-152,0
1396,3,3.5,90,3,54,4.0,0.0,9.0,89.07,-258,0
1395,3,3.5,90,3,107,1.0,0.0,7.0,85.48,-57,0
454,4,4.0,172,3,29,3.0,0.0,1.0,75.9,-306,0
453,3,4.0,172,3,54,1.0,0.0,0.0,53.44,-189,0
452,3,4.0,172,3,59,1.0,0.0,3.0,79.37,-266,0
451,3,4.0,172,3,64,3.0,0.0,4.0,78.39,-253,0
1204,9,3.5,222,3,82,8.0,0.0,8.0,52.15,-241,1
1203,2,3.5,222,3,124,10.0,0.0,14.0,83.82,-169,0
1202,4,3.5,222,3,107,7.0,0.0,1.0,39.76,-143,0
1201,7,3.5,222,3,624,13.0,0.0,4.0,79.39,-132,1
1200,2,3.5,222,3,612,13.0,0.0,8.0,66.11,-307,0
443,6,3.5,531,3,607,3.0,0.0,1.0,86.39,-261,1
442,2,3.5,531,3,54,6.0,0.0,2.0,38.94,-202,0
440,2,3.5,531,3,64,2.0,0.0,3.0,84.39,-216,0
441,3,3.5,531,3,64,4.0,0.0,3.0,83.21,-246,0
439,2,3.5,531,3,64,4.0,0.0,2.0,95.62,-62,0
704,7,2.5,11,3,607,6.0,0.0,1.0,53.56,-128,1
703,8,2.5,11,3,107,2.0,0.0,4.0,74.09,-192,1
702,4,2.5,11,3,124,2.0,0.0,3.0,82.43,-660,0
236,9,2.5,350,3,29,11.0,0.0,9.0,38.94,-536,1
819,1,4.0,17,2,611,9.0,0.0,5.0,72.82,-339,0
818,1,4.0,17,2,624,10.0,0.0,8.0,71.11,-362,0
817,3,4.0,17,2,59,7.0,0.0,5.0,71.96,-304,0
398,0,3.0,15,3,64,12.0,0.0,6.0,51.06,-591,0
172,3,3.0,37,3,124,19.0,2.0,4.0,76.88,-271,0
171,1,3.0,37,3,124,24.0,0.0,7.0,84.83,-422,0
170,11,3.0,37,3,89,16.0,0.0,6.0,67.43,-136,1
169,5,3.0,37,3,422,17.0,0.0,3.0,37.15,-123,1
932,7,4.5,64,2,88,7.0,0.0,8.0,56.65,-483,1
931,8,4.5,64,2,59,17.0,0.0,7.0,78.46,-154,1
120,10,3.5,52,3,29,25.0,0.0,18.0,83.82,-410,1
741,3,3.5,256,4,29,0.0,0.0,6.0,75.72,-220,0
740,1,3.5,256,4,54,0.0,0.0,1.0,84.74,-133,0
739,3,3.5,256,4,64,3.0,0.0,6.0,34.75,-166,0
843,3,4.0,61,4,64,17.0,0.0,17.0,81.46,-243,0
842,9,4.0,61,4,121,17.0,0.0,5.0,70.75,-146,1
841,4,4.0,61,4,603,13.0,0.0,10.0,90.79,-640,0
430,3,3.5,315,4,64,8.0,0.0,6.0,72.42,-503,0
429,4,3.5,315,4,603,18.0,0.0,4.0,94.96,-442,0
175,3,3.5,342,3,54,16.0,0.0,7.0,93.21,-341,0
174,4,3.5,342,3,107,25.0,0.0,11.0,86.91,-349,0
173,3,3.5,342,3,59,16.0,0.0,10.0,36.99,-246,0
875,8,3.5,134,3,54,8.0,0.0,4.0,84.74,-353,1
874,2,3.5,134,3,612,3.0,0.0,1.0,83.54,-300,0
1342,4,2.5,98,2,54,3.0,0.0,4.0,67.85,-468,0
1035,1,2.5,98,2,64,3.0,0.0,1.0,83.1,-532,0
1034,3,4.0,118,3,54,28.0,0.0,5.0,91.68,-391,0
759,9,4.0,118,2,607,21.0,1.0,12.0,73.08,-36,1
758,4,4.0,118,2,88,27.0,0.0,12.0,51.68,-181,0
1033,1,4.0,118,3,54,25.0,1.0,8.0,39.41,-319,0
348,7,3.5,121,3,26,1.0,0.0,0.0,41.35,-964,1
286,5,3.5,488,3,54,24.0,0.0,10.0,85.49,-244,1
285,6,3.5,488,3,121,10.0,0.0,11.0,48.06,-181,1
284,5,3.5,488,3,82,31.0,0.0,8.0,86.91,-197,1
622,9,3.0,124,3,64,14.0,0.0,11.0,73.97,-299,1
621,9,3.0,124,3,82,19.0,0.0,2.0,37.31,-253,1
953,5,4.0,37,3,29,4.0,0.0,2.0,81.61,-397,1
952,2,4.0,37,3,59,7.0,0.0,4.0,66.01,-401,0
206,5,3.5,452,2,29,6.0,0.0,4.0,82.27,-398,1
205,1,3.5,452,2,64,6.0,0.0,4.0,26.38,-509,0
283,7,3.5,233,3,29,2.0,0.0,1.0,84.32,-388,1
971,4,4.0,78,3,54,10.0,0.0,2.0,95.32,-1062,0
