,crit_viol,yelp_rating,yelp_reviews,risk,insp_badge,crime_count,311_count,construction_count,avg_high_temp,time_diff,target
299,4,3.5,41,3,107,7.0,0.0,3.0,81.18,-134,0
300,6,3.5,41,3,422,12.0,0.0,1.0,81.61,-268,1
301,5,3.5,41,3,611,6.0,0.0,2.0,50.33,-218,1
302,5,3.5,423,3,124,13.0,0.0,13.0,32.67,-864,1
303,5,3.5,423,3,611,17.0,0.0,7.0,68.99,-415,1
304,6,4.5,60,2,624,4.0,0.0,6.0,85.75,-864,1
305,1,4.5,60,2,26,6.0,0.0,1.0,28.76,-197,0
306,1,4.5,60,2,422,7.0,0.0,2.0,93.54,-190,0
307,5,4.5,60,2,603,2.0,0.0,2.0,26.38,-200,1
308,8,4.0,238,3,607,16.0,0.0,11.0,77.22,-322,1
309,2,4.0,238,3,54,14.0,0.0,7.0,49.6,-189,0
310,6,3.5,47,3,607,5.0,0.0,4.0,30.52,-864,1
311,5,3.5,47,3,603,2.0,0.0,3.0,67.19,-257,1
312,6,4.0,23,3,603,25.0,0.0,9.0,35.34,-508,1
313,4,4.0,23,3,82,28.0,0.0,13.0,64.59,-287,0
314,3,4.0,23,3,59,19.0,0.0,12.0,87.92,-208,0
315,6,2.5,3,4,64,12.0,0.0,2.0,54.04,-864,1
316,4,2.5,3,4,26,10.0,0.0,4.0,81.03,-550,0
317,3,2.5,3,4,124,4.0,0.0,0.0,59.42,-194,0
318,2,3.5,80,3,607,4.0,0.0,2.0,52.15,-118,0
319,0,3.0,16,3,64,12.0,0.0,7.0,73.05,-864,0
320,2,3.0,16,3,87,10.0,0.0,6.0,81.61,-124,0
321,2,3.0,16,3,87,15.0,0.0,9.0,84.74,-15,0
322,8,3.0,16,3,624,16.0,0.0,5.0,39.76,-123,1
323,6,3.0,16,3,624,14.0,0.0,6.0,39.72,-3,1
324,0,3.0,16,3,54,19.0,0.0,7.0,82.17,-202,0
325,0,3.0,16,3,26,19.0,0.0,6.0,81.24,-35,0
326,1,3.0,16,3,422,11.0,0.0,6.0,72.9,-238,0
327,9,3.0,23,3,603,10.0,0.0,5.0,35.69,-412,1
328,4,3.0,23,3,603,5.0,0.0,5.0,81.03,-205,0
329,3,3.0,23,3,89,9.0,0.0,10.0,69.14,-47,0
330,9,3.0,23,3,624,8.0,0.0,5.0,32.68,-76,1
331,1,3.0,23,3,16,9.0,0.0,4.0,45.91,-55,0
332,2,3.0,23,3,612,12.0,0.0,6.0,68.18,-35,0
333,1,3.0,17,3,89,5.0,0.0,7.0,53.44,-335,0
334,4,3.0,17,3,87,10.0,0.0,5.0,91.58,-184,0
335,4,3.0,17,3,89,5.0,0.0,14.0,41.42,-202,0
336,3,3.0,17,3,422,14.0,0.0,4.0,75.71,-140,0
337,1,5.0,1,2,88,19.0,0.0,5.0,98.52,-864,0
338,2,5.0,1,2,29,17.0,1.0,7.0,32.48,-180,0
339,2,5.0,1,2,54,11.0,0.0,9.0,72.93,-280,0
340,1,3.0,27,3,88,20.0,0.0,11.0,84.55,-266,0
341,3,3.0,27,3,88,22.0,0.0,12.0,84.55,0,0
342,3,3.0,27,3,88,23.0,0.0,14.0,84.08,-29,0
343,5,3.0,27,3,89,13.0,0.0,8.0,67.55,-42,1
344,2,3.0,27,3,607,23.0,0.0,9.0,39.76,-82,0
345,3,3.0,27,3,29,15.0,0.0,4.0,35.26,-42,0
346,4,3.0,27,3,29,23.0,0.0,8.0,42.74,-4,0
347,1,3.0,27,3,29,23.0,0.0,5.0,46.9,-6,0
348,10,3.0,27,3,624,15.0,0.0,6.0,58.48,-42,1
349,5,3.0,27,3,89,11.0,0.0,9.0,94.55,-103,1
350,1,3.0,27,3,82,13.0,0.0,8.0,65.8,-73,0
351,1,3.0,27,3,422,9.0,0.0,8.0,63.76,-31,0
352,0,3.0,27,3,54,21.0,0.0,10.0,75.01,-183,0
353,2,3.0,27,3,624,22.0,0.0,10.0,74.06,-1,0
354,4,3.0,27,3,624,22.0,0.0,10.0,74.06,0,0
355,2,3.0,27,3,422,6.0,0.0,10.0,88.84,-5,0
356,0,3.5,41,2,422,24.0,0.0,14.0,64.47,-180,0
