,inspec_id,permit_id,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr,lat,lon,risk,insp_badge,yelp_rating,yelp_reviews,violation
1391,610744,147839,6.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,38.9102043,-77.038236,3,29.0,4.0,498,1
1392,824973,147839,11.0,3.0,2.0,0.0,0.0,0.0,9.0,3.0,38.9102043,-77.038236,3,26.0,4.0,498,1
1393,205137,2833,10.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,38.9020797,-77.0607409,2,82.0,3.5,43,1
1394,810422,2833,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,38.9020797,-77.0607409,2,64.0,3.5,43,0
1395,205172,5664,12.0,2.0,6.0,0.0,0.0,0.0,6.0,2.0,38.9134282,-77.0451801,3,121.0,2.5,296,1
1396,811217,5664,9.0,2.0,3.0,0.0,0.0,0.0,6.0,2.0,38.9134282,-77.0451801,3,607.0,2.5,296,1
1397,205189,2453,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,38.9098936,-77.0463315,4,612.0,3.5,181,0
1398,205231,1207,6.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,38.9020684,-77.0255225,4,422.0,4.0,1029,1
1399,606780,1207,11.0,2.0,4.0,0.0,0.0,0.0,7.0,2.0,38.9020684,-77.0255225,4,603.0,4.0,1029,1
1400,205234,147896,3.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,38.9121127,-77.0323255,3,612.0,4.0,805,0
1401,814009,147896,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,38.9121127,-77.0323255,3,107.0,4.0,805,0
1402,205265,6805,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,38.929441,-77.032379,2,29.0,4.5,192,1
1403,610139,6805,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,38.929441,-77.032379,2,82.0,4.5,192,1
1404,820028,6805,4.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,38.929441,-77.032379,2,611.0,4.5,192,0
1405,205403,4373,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,38.8825763,-76.9947021,3,26.0,3.5,514,0
1406,205403,4373,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,38.8825763,-76.9947021,3,26.0,3.5,514,0
1407,205403,4373,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,38.8825763,-76.9947021,3,26.0,3.5,514,0
1408,607746,4373,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,38.8825763,-76.9947021,3,124.0,3.5,514,0
1409,607746,4373,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,38.8825763,-76.9947021,3,124.0,3.5,514,0
1410,607746,4373,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,38.8825763,-76.9947021,3,124.0,3.5,514,0
1411,811304,4373,17.0,4.0,0.0,0.0,0.0,0.0,17.0,4.0,38.8825763,-76.9947021,3,89.0,3.5,514,1
1412,811304,4373,17.0,4.0,0.0,0.0,0.0,0.0,17.0,4.0,38.8825763,-76.9947021,3,89.0,3.5,514,1
1413,811304,4373,17.0,4.0,0.0,0.0,0.0,0.0,17.0,4.0,38.8825763,-76.9947021,3,89.0,3.5,514,1
