OBJECTID,LICENSE,TRADE_NAME,APPLICANT,CLASS,ENDORSEMENTS,ADDRESS,ADDRID,X,Y,DESCRIPTIO,STATUS,TYPE
69,ABRA-088179,All Souls,"All Souls, LLC",C,,725 T STREET NW,218737,398030.82,138652.6,Tavern,Active,Tavern
70,ABRA-093028,Alphonse Italian Market & Osteria,"Italian Food Concepts, LLC",C,,1212 U STREET NW,218055,397521.24,138770.99,Restaurant,Active,Restaurant
71,ABRA-074611,Al's Liquor,"SD Liquors, Inc",A,,4009 SOUTH CAPITOL STREET SW,295371,399306.12,129251.94,Retail - Liquor Store,Active,Retail - Liquor Store
72,ABRA-060219,Alumni House,George Washington University,C,,1925 F STREET NW,241086,396124.36,136642.58,Multipurpose,Safekeeping,Multipurpose
73,ABRA-090240,Ambar,BALKAN CONCEPTS LLC,C,,523 8TH STREET SE,11379,400411.04,134910,Restaurant,Active,Restaurant
74,ABRA-090422,Ambassador Restaurant,ROMYO  LLC,C,,1907 9TH STREET NW,239844,397941.73,138679.79,Restaurant,Active,Restaurant
75,ABRA-094922,AMERICAN CITY DINER,"AMERICAN CITY DINER, INC.",D,,5532 CONNECTICUT AVENUE NW,263826,393460.91,144031.47,Restaurant,Active,Restaurant
76,ABRA-084577,American Ice Company,"H & H, LLC",C,,917 V STREET NW,285462,397808.09,138946.26,Tavern,Active,Tavern
77,ABRA-093449,Amsterdam Falafelshop,District Falafel I LLC,D,,1830 14TH STREET NW,240078,397194.33,138585.83,Restaurant,Active,Restaurant
78,ABRA-100340,Amsterdam Lounge,Belay Abere,C,,1208 U STREET NW,218050,397528.61,138770.97,Tavern,Active,Tavern
79,ABRA-086470,Anacostia Market,"F & A, Inc.",B,,1303 GOOD HOPE ROAD SE,286027,401141.37,133222.52,Retail - Class B,Active,Retail - Class B
80,ABRA-091312,Ancora,"Sirolo, LLC",C,,600 NEW HAMPSHIRE AVENUE NW,279838,395223.31,136662.88,Restaurant,Safekeeping,Restaurant
81,ABRA-021721,Andy's Carryout,No Jun Choon & Myong A,B,,209 NEW YORK AVENUE NW,218612,398778.97,137554.02,Retail - Grocery,Active,Retail - Grocery
82,ABRA-060711,Angelico Pizzeria & Cafe,"GNU, LLC",D,,4529 WISCONSIN AVENUE NW,300794,393083,142321.76,Restaurant,Active,Restaurant
83,ABRA-095111,Angelika Pop-Up,"Angelika Film Center Union Market, LLC",C,,550 PENN STREET NE,8479,400338.16,138033.1,Tavern,Active,Tavern
84,ABRA-097698,Ankara,"Duru, Inc.",C,,1320 19TH STREET NW,241061,396203.93,137802.92,Restaurant,Active,Restaurant
85,ABRA-007930,Annie's Paramount Steak House,"Steaks Unlimited, Inc.",C,,1609 17TH STREET NW,243116,396685.25,138193.35,Restaurant,Active,Restaurant
86,ABRA-076380,Aoi Japnese Restaurant,"L'Aziatique, Inc.",C,,1100 NEW YORK AVENUE NW,297684,397619.45,136979.92,Restaurant,Active,Restaurant
87,ABRA-094795,Appioo,"Appioo, LLC",C,,1924 9TH STREET NW,239490,397902.36,138713.95,Restaurant,Active,Restaurant
88,ABRA-060477,Aqua Restaurant,AQUA NYA LLC.,C,,1818 NEW YORK AVENUE NE,55416,402020.97,138872.09,Tavern,Active,Tavern
89,ABRA-082437,"Aramark Entertainment, LLC (Verizon Center)","Aramark Entertainment, LLC",C,,601 F STREET NW,238712,398182.26,136676.82,Arena,Active,Arena
90,ABRA-000931,Archibald's/Fast Eddies Billiards Cafe,Harco Inc,C,,1520 K STREET NW,218319,396913.31,137142.77,Nightclub,Active,Nightclub
91,ABRA-091137,Arcuri,We Are 4 Partners LLC,C,,2400 WISCONSIN AVENUE NW,289364,393722.62,139260.83,Restaurant,Active,Restaurant
92,ABRA-025620,Ardeo/Bardeo,"Ardeo, LLC",C,,3309 CONNECTICUT AVENUE NW,275651,395049.66,140664.89,Restaurant,Active,Restaurant
93,ABRA-001729,Arena Stage,"Washington Drama Society, Inc.",C,,1101 6TH STREET SW,293193,398233.49,134365.4,Multipurpose,Active,Multipurpose
94,ABRA-087999,Argonne Market,"BJ & M, Inc.",B,,1629 COLUMBIA ROAD NW,236284,396719.4,139801.74,Retail - Class B,Active,Retail - Class B
95,ABRA-093257,"Argyle Market, LLC","Argyle Market, LLC",B,,3220 17TH STREET NW,233527,396599.62,140491.36,Retail - Class B,Active,Retail - Class B
96,ABRA-074742,Aria,"Aria Management, LLC",C,,1300 PENNSYLVANIA AVENUE NW,293198,397379.12,136343.99,Restaurant,Safekeeping,Restaurant
97,ABRA-075464,Armand's Chicago Pizzeria,"AY & PS, Inc",C,,226 MASSACHUSETTS AVENUE NE,286765,399780.39,136359.57,Restaurant,Active,Restaurant
98,ABRA-090174,Aroi Thai Cuisine,YADA GROUP INC,C,,1832 1ST STREET NW,306105,398925.56,138600.29,Restaurant,Active,Restaurant
99,ABRA-001847,Aroma Indian Restaurant,"Lamaree, Inc.",C,,1919 I STREET NW,279480,396147,137077.84,Restaurant,Active,Restaurant
100,ABRA-089200,Arrowine,"Arrowine DC, Inc.",A,,2175 K STREET NW,279563,395797.81,137225.42,Retail - Liquor Store,Active,Retail - Liquor Store
101,ABRA-091285,Art Jamz,"Art Jamz, LLC",C,,1728 CONNECTICUT AVENUE NW,243126,396006.59,138407.42,Multipurpose,Active,Multipurpose
102,ABRA-096150,Art Soiree House,"1832  NW, LLC",C,,1832 14TH STREET NW,242885,397194.77,138594.8,Multipurpose,405.1 New Const,Multipurpose
103,ABRA-000249,Arthurs Grocery,"Cruel Jr., John Arthur",B,,3301 11TH STREET NW,218169,397585.49,140335.79,Retail - Grocery,Active,Retail - Grocery
104,ABRA-097046,ArtJamz,"ArtJamz, LLC",C,,716 MONROE STREET NE,309744,400432.98,140550.05,Multipurpose,Active,Multipurpose
105,ABRA-021599,Arucola,"D B Restaurant, Inc.",C,,5534 CONNECTICUT AVENUE NW,263851,393446.36,144038.5,Restaurant,Active,Restaurant
106,ABRA-093549,Asia 54,"Asian 328, LLC",C,,2122 P STREET NW,279550,395869.27,137950.15,Restaurant,Active,Restaurant
107,ABRA-086035,Asia DC,1720 I LLC,C,,1720 I STREET NW,279343,396489.34,137019.93,Nightclub,Active,Nightclub
108,ABRA-076177,Asia Nine Bar and Lounge,"Centerpoint Nine, LLC",C,,915 E STREET NW,239822,397825.67,136501.42,Restaurant,Active,Restaurant
109,ABRA-076750,Asian Spice,"LPK, Inc.",C,,717 H STREET NW,238406,398034.14,136911.26,Restaurant,Active,Restaurant
110,ABRA-098287,Askale Cafe,Ehio-American Flavors LLC,D,,3629 12TH STREET NE,289179,400784.39,140715.93,Restaurant,Active,Restaurant
111,ABRA-099697,ATLANTIC  PLUMBING BEVERAGE SERVICES,CINEMA BEVERAGES HOLDING COMPANY LLC,C,,807 V STREET NW,300873,397974.5,138891.95,Multipurpose,Active,Multipurpose
112,ABRA-083822,Atlas Arcade/Church & State,Chapter II Corp.,C,,1236 H STREET NE,70160,400955.76,136950.21,Tavern,Active,Tavern
113,ABRA-091282,Atlas Brew Works,Atlas Brew Works LLC,B,,2052 WEST VIRGINIA AVENUE NE,52236,401611.77,138552.01,Manufacturer,Active,Manufacturer
114,ABRA-085207,Atlas Performing Arts Center,Atlas Performing  Arts Center,C,,1333 H STREET NE,286066,401108.85,136902.33,Multipurpose,Active,Multipurpose
115,ABRA-019007,Atomic Billiards,Atomic Billards Corporation,C,,3427 CONNECTICUT AVENUE NW,219257,394981.35,140818.27,Tavern,Active,Tavern
116,ABRA-076102,Austin Grill,"Austin Grill, LLC",C,,750 E STREET NW,279929,398052.97,136454.1,Restaurant,Active,Restaurant
117,ABRA-080085,Avalon Theatre,"Avalon Theatre Project, Inc.",C,,5612 CONNECTICUT AVENUE NW,263861,393387.84,144154.35,Multipurpose,Active,Multipurpose
118,ABRA-086545,Avenue Suites/A Bar,"2500 Pennsylvania Avenue Investors, LLC",C,,2500 PENNSYLVANIA AVENUE NW,273885,395344.68,137287.83,Tavern,Active,Tavern
119,ABRA-090417,Avenue Supermarket,"MHAT & DM, LLC",B,,5010 NEW HAMPSHIRE AVENUE NW,306154,398928.23,142610.63,Retail - Grocery,Active,Retail - Grocery
120,ABRA-090527,Avery's Bar and Lounge,Avery's LLC,C,,1370 H STREET NE,65570,401217.16,136951.77,Tavern,Active,Tavern
121,ABRA-020102,Awash,Makamboo Corp.,C,,2218 18TH STREET NW,243161,396371.41,139048.93,Restaurant,Active,Restaurant
122,ABRA-089823,Axum Restaurant,AXUMAWIT INCORORATION INC.,C,,1934 9TH STREET NW,239511,397895.12,138745.42,Restaurant,Active,Restaurant
123,ABRA-083121,B Cafe/Brookland Cafe,"The New Brookland Cafe, LLC",C,,3740 12TH STREET NE,300963,400753.95,140879.61,Restaurant,Active,Restaurant
